condition,drugName,rating,sentiment_score,side_effect_score,review_length,usefulCount,review_count,normalized_rating,ranking_score
ADHD,Adderall,8.33125,0.13025945837439773,0.25625,459.25625,44.9125,160,0.8331250000000001,1.6698981580944168
ADHD,Adderall XR,8.14018691588785,0.1448976906040083,0.411214953271028,478.13084112149534,30.102803738317757,107,0.814018691588785,1.5313798986197247
ADHD,Adzenys XR-ODT,6.277777777777778,0.1235885902554364,0.4444444444444444,512.6111111111111,8.444444444444445,18,0.6277777777777778,1.0098642334658345
ADHD,Amantadine,8.666666666666666,0.08569704986371651,0.0,489.3333333333333,15.666666666666666,3,0.8666666666666666,0.9937618383213991
ADHD,Amphetamine,6.613636363636363,0.09951373556494536,0.38636363636363635,404.3636363636364,9.227272727272727,44,0.6613636363636364,1.1655699038145437
ADHD,Amphetamine / dextroamphetamine,7.997167138810198,0.13794329838234973,0.29745042492917845,461.1926345609065,31.960339943342778,353,0.7997167138810198,1.7224205925264906
ADHD,Aptensio XR,6.333333333333333,0.01079365079365078,0.0,575.6666666666666,7.333333333333333,3,0.6333333333333333,0.7814757480900607
ADHD,Armodafinil,7.375,0.13230092592592593,0.125,422.375,29.0,8,0.7375,1.1487234790349417
ADHD,Atomoxetine,5.4088669950738915,0.04030617728706362,0.5665024630541872,501.17241379310343,35.2807881773399,203,0.5408866995073891,1.5041769205098234
ADHD,Bupropion,7.793103448275862,0.1410673985995653,0.46551724137931033,528.3103448275862,72.06896551724138,58,0.7793103448275862,1.5487270693411483
ADHD,Catapres,9.333333333333334,0.20787037037037037,0.0,228.33333333333334,40.0,3,0.9333333333333333,1.1798873715810372
ADHD,Clonidine,8.916666666666666,0.12895819672282602,0.125,507.6666666666667,55.166666666666664,24,0.8916666666666666,1.457038198910108
ADHD,Concerta,7.247368421052632,0.10738582883151802,0.3631578947368421,515.5315789473684,40.23684210526316,190,0.7247368421052631,1.6207969397361643
ADHD,Cylert,9.5,0.07920194003527337,0.16666666666666666,649.0,11.166666666666666,6,0.95,1.0458652394867354
ADHD,Daytrana,8.244444444444444,0.09917014511235625,0.2222222222222222,598.8,22.377777777777776,45,0.8244444444444443,1.3744536795804914
ADHD,Desipramine,6.0,-0.06439393939393939,2.0,675.0,8.0,1,0.6,0.46067697580563677
ADHD,Desoxyn,9.5625,0.11915114840310154,0.3125,447.25,83.9375,16,0.95625,1.4663495850757573
ADHD,Desvenlafaxine,9.0,0.12416666666666668,2.0,607.0,16.0,1,0.9,0.7137874120257577
ADHD,Dexedrine,8.63265306122449,0.14954719984295345,0.32653061224489793,495.3061224489796,46.265306122448976,49,0.863265306122449,1.5077324330946413
ADHD,Dexmethylphenidate,7.443298969072165,0.07465339388604057,0.17525773195876287,529.9072164948453,33.34020618556701,97,0.7443298969072165,1.513329515098349
ADHD,Dextroamphetamine,8.691176470588236,0.13315672892424055,0.3235294117647059,476.7352941176471,33.36764705882353,68,0.8691176470588236,1.5076087835259082
ADHD,Dyanavel XR,6.375,0.06898674242424241,0.25,274.75,8.875,8,0.6375,0.9168819817033592
ADHD,Evekeo,7.538461538461538,0.10467182123432124,0.38461538461538464,382.6923076923077,10.923076923076923,13,0.7538461538461538,1.0516412506847324
ADHD,Focalin,6.9,0.11064810421668976,0.175,524.875,38.525,40,0.6900000000000001,1.3892054383133146
ADHD,Focalin XR,7.78,0.07273357046914378,0.14,516.1,33.82,50,0.778,1.434049349153484
ADHD,Guanfacine,5.890756302521009,0.0844718469047719,0.23529411764705882,537.4285714285714,52.831932773109244,119,0.5890756302521009,1.5449989966930318
ADHD,Imipramine,3.0,0.15916666666666665,3.0,735.0,23.0,1,0.3,0.4325134849695169
ADHD,Intuniv,6.060975609756097,0.08981777123653206,0.2804878048780488,516.3170731707318,64.8780487804878,82,0.6060975609756097,1.5233506823824812
